0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,90,14,14,12,25,25,0,12,0,0,2551,0,90,14,14,12,84,473,58,283,0,0,1480,53,138,878,587,207,246,1598,62,245,71,25,1898,53,94,625,749,462,106,1205,370,133,80,114,1524,53,98,122,571,0,65,646,82,50,22,48,832,0,0,0,619,0,0,541,322,0,18,0,773,0,0,0,214,0,0,0,0,0,0,0,0
0,0,0,0,0,0,306,0,0,75,13,286,0,67,0,0,4839,0,345,60,208,7,13,2868,0,0,0,450,2408,0,487,1042,2649,1093,17,4331,831,52,209,174,4655,393,610,238,2859,2096,36,2450,384,7,173,102,2598,48,465,269,581,323,0,782,240,0,114,168,750,48,500,90,784,204,0,922,222,0,0,0,436,0,402,0,916,0,0,0,0,0,0,0
0,0,0,0,0,0,99,14,53,15,9,11,2505,39,0,191,0,3350,99,14,53,15,9,11,108,39,0,127,19,2738,89,19,50,2692,15,11,2715,148,17,137,1,309,0,30,128,189,25,36,198,143,87,152,0,181,1,2,64,140,0,0,196,39,0,235,0,210,0,0,93,202,0,0,217,39,0,0,0,271,0,0,39,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,190,103,1894,16,29,3242,0,118,304,277,5899,0,414,39,1728,465,55,2860,0,345,67,223,3246,0,544,88,3624,693,227,3749,0,509,278,293,3874,0,457,152,3632,277,85,3018,4,212,30,253,2739,4,369,16,2666,46,0,2470,0,10,60,100,2254,0,337,16,2036,109,0,1372,0,1,124,31,1465,0,330,0,1295,0,0,0,0,0
0,0,0,0,0,0,0,0,3,57,58,520,3,3,630,14,0,17,15,5024,3,87,58,217,17,3,1442,0,49,17,18,2187,3,47,855,2141,752,80,3008,21,144,132,176,3346,3,649,164,1575,205,9,2016,1,1,133,0,1054,6,0,81,851,130,3,991,0,84,113,0,886,3,0,79,488,163,3,426,0,132,9,0,616,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,73,352,579,373,236,27,1168,122,102,190,4,9136,122,352,657,197,193,71,1523,73,261,240,54,2564,28,442,1098,2252,869,347,2130,1171,671,1442,253,2772,13,827,847,1910,1251,766,1736,254,773,542,851,1439,167,514,503,579,267,199,755,498,381,166,161,580,0,19,105,239,93,229,180,5,77,172,0,40,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,142,118,413,667,195,294,890,229,569,58,75,7029,251,152,317,513,312,662,1087,146,1140,5,376,2408,120,559,1920,2287,612,1041,2817,913,1221,319,462,3733,127,638,1996,1581,604,752,838,502,636,253,20,797,114,251,881,211,150,780,172,218,434,255,84,211,23,0,247,127,0,223,57,0,118,262,0,21,0,0,0,0,0,0
